"379873","An Lushan","安祿山"
"380462","An Qingxu","安慶緒"
"378063","An Sishun","安思順"
"378621","An Taiqing","安太清"
"162825","An Xinggui","安興貴"
"378334","An Xiuren","安修仁"
"376419","Ashina Sheer","阿史那社爾"
"377887","Ashina Sunishi","阿史那蘇尼失"
"384386","Ashina Zhong","阿史那忠"
"32227","Bai Juyi","白居易"
"32225","Bai Minzhong","白敏中"
"167504","Bai Qi","柏耆"
"377724","Bai Xiaode","白孝德"
"32228","Bai Xingjian","白行簡"
"376198","Bai Yuanguang","白元光"
"189643","Bai Zhizhen","白志貞"
"376103","Ban Jingqian","班景倩"
"377526","Bao Fang","鮑防"
"92411","Bao Ji","包佶"
"18384","Bi Gou","畢構"
"145777","Bi Shang","畢坰"
"18386","Bi Xian","畢諴"
"18385","Bi Xu","畢栩"
"380260","Cai Xide","蔡希德"
"170542","Cao Hua","曹華"
"184606","Cao Que","曹確"
"31628","Cen Wenben","岑文本"
"377557","Chai Shao","柴紹"
"376066","Chang Cui","暢璀"
"94490","Chang Gun","常衮"
"184138","Chang Lu","常魯"
"173165","Changsun Anshi","長孫安世"
"195252","Changsun Quanxu","長孫全緒"
"31065","Changsun Sheng","長孫晟"
"379682","Changsun Shunde","長孫順德"
"380528","Chen ¶","陳稜"
"378766","Chen Baoyu","陳寶遇"
"169084","Chen Chu","陳楚"
"189734","Chen Jingzhi","陳敬之"
"172270","Chen Junbin","陳君賓"
"194948","Chen Qing","陳慶"
"186247","Chen Shaoyou","陳少遊"
"98511","Chen Shuda","陳叔達"
"93603","Chen Xilie","陳希烈"
"194949","Chen Yan","陳儼"
"14550","Chen Yixing","陳夷行"
"31322","Chen Ziang","陳子昂"
"380227","Cheng Huaizhi","程懷直"
"169416","Cheng Quan","程權"
"170144","Cheng Rihua","程日華"
"378131","Cheng Wuting","程務挺"
"184316","Cheng Yi","程异"
"142562","Cheng Zhijie","程知節"
"145635","Chou Shiliang","仇士良"
"30936","Chu Liang","褚亮"
"30938","Chu Suiliang","褚遂良"
"32007","Chu Wuliang","褚無量"
"177846","Cui ?","崔䪻"
"194148","Cui An","崔黯"
"32641","Cui Bin","崔邠"
"378000","Cui Chengchong","崔承寵"
"141428","Cui Dan","崔澹"
"32644","Cui Dan(2)","崔鄲"
"376092","Cui Dunli","崔敦禮"
"145948","Cui Gan","崔幹"
"32297","Cui Gong(2)","崔珙"
"94590","Cui Guan","崔瓘"
"32296","Cui Guan","崔琯"
"178033","Cui Guangyuan","崔光遠"
"32115","Cui Hang","崔沆"
"177873","Cui Hanheng","崔漢衡"
"141619","Cui Hongli","崔弘禮"
"145951","Cui Huan","崔渙"
"194146","Cui Hui","崔繪"
"153027","Cui Hun","崔渾"
"160309","Cui Jie","崔碣"
"10208","Cui Jing","崔涇"
"156433","Cui Juan","崔涓"
"150266","Cui Junsu","崔君肅"
"194972","Cui Kuan","崔寬"
"32276","Cui Leng","崔倰"
"194147","Cui Li","崔蠡"
"31703","Cui Mian","崔沔"
"194144","Cui Ning","崔寧"
"32307","Cui Qi","崔器"
"378580","Cui Qianyou","崔乾祐"
"151146","Cui Qu","崔璩"
"194149","Cui Que","崔確"
"94576","Cui Qun","崔羣"
"94500","Cui Riyong","崔日用"
"94501","Cui Rizhi","崔日知"
"159604","Cui Rong","崔戎"
"177304","Cui Rong","崔融"
"381185","Cui Shan","崔鄯"
"31957","Cui Shi","崔湜"
"150992","Cui Shu","崔樞"
"378588","Cui Xian","崔咸"
"32114","Cui Xuan","崔鉉"
"141127","Cui Xuan","崔夐"
"146082","Cui Xuanliang","崔玄亮"
"94509","Cui Xuanwei","崔玄暐"
"177251","Cui Xun","崔郇"
"160836","Cui Yan","崔巖"
"32643","Cui Yan","崔郾"
"161094","Cui Yanzhao","崔彥昭"
"194151","Cui Yao","崔蕘"
"31381","Cui Yin(3)","崔胤"
"156093","Cui Yinfu","崔隱甫"
"377538","Cui Ying","崔郢"
"32279","Cui Youfu","崔祐甫"
"152118","Cui Yuan","崔遠"
"177352","Cui Yuan","崔圓"
"32298","Cui Yuan(3)","崔涓"
"32113","Cui Yuanlue","崔元略"
"189359","Cui Yuanru","崔元儒"
"32117","Cui Yuanshi","崔元式"
"32116","Cui Yuanshou","崔元受"
"152877","Cui Yuanzong","崔元綜"
"32400","Cui Zao(2)","崔造"
"32281","Cui Zhi(3)","崔植"
"177453","Cui Zong","崔縱"
"94541","Cui Zongzhi","崔宗之"
"377773","Dai Xiuyan","戴休顏"
"379888","Deng Hao","鄧暠"
"379357","Deng Jingshan","鄧景山"
"16435","Di Guangsi","狄光嗣"
"16436","Di Jianmo","狄兼謨"
"3840","Di Renjie","狄仁傑"
"184128","Diwu Feng","第五峯"
"192873","Diwu Hua","第五華"
"94594","Diwu Qi","第五琦"
"145863","Dong Jin","董晉"
"166217","Dong Xiu","董秀"
"189529","Dong Zhongzhi","董重質"
"94878","Dou Can","竇參"
"94884","Dou Chang","竇常"
"162725","Dou Chi","竇熾"
"162726","Dou Cong","竇琮"
"31780","Dou Dan","竇誕"
"172210","Dou Fengjie","竇奉節"
"94871","Dou Gong","竇鞏"
"172209","Dou Gui","竇軌"
"171958","Dou Huaizhen","竇懷貞"
"194184","Dou Huan","竇澣"
"383331","Dou Jin","竇璡"
"31815","Dou Jing","竇靜"
"31779","Dou Kang","竇抗"
"172188","Dou Lvxin","竇履信"
"379706","Dou Mou","竇牟"
"172193","Dou Qing","竇慶"
"172246","Dou Qun","竇群"
"94879","Dou Wei","竇威"
"94880","Dou Xiang","竇庠"
"31819","Dou Xiaochen","竇孝諶"
"172111","Dou Yan","竇衍"
"31777","Dou Yi(2)","竇毅"
"172260","Dou Yizhi","竇易直"
"182036","Doulu Da","豆盧達"
"30967","Doulu Qinwang","豆盧欽望"
"186930","Doulu Zhuan","豆盧瑑"
"92836","Du  Yuanying","杜元穎"
"173236","Du Chuke","杜楚客"
"377707","Du Cong","杜悰"
"32484","Du Congyu","杜從郁"
"3915","Du Fu","杜甫"
"380632","Du Fuwei","杜伏威"
"378180","Du Gao","杜羔"
"32683","Du Hongjian","杜鴻漸"
"21187","Du Huangshang","杜黃裳"
"92854","Du Jian","杜兼"
"154111","Du Jingquan","杜景佺"
"382692","Du Junchao","杜君綽"
"377767","Du Mian","杜冕"
"21194","Du Mu","杜牧"
"30864","Du Ruhui","杜如晦"
"384090","Du Shifang","杜式方"
"32685","Du Xian(2)","杜暹"
"195855","Du Xiquan","杜希全"
"173269","Du Ya","杜亞"
"30861","Du Yan","杜淹"
"3927","Du You","杜佑"
"92838","Du Zhenglun","杜正倫"
"92833","Du Zhisong","杜之松"
"380234","Du Zhongli","杜中立"
"21751","Duan Chengshi","段成式"
"146742","Duan Da","段達"
"377854","Duan Decao","段德操"
"189580","Duan Pingzhong","段平仲"
"21750","Duan Wenchang","段文昌"
"32873","Duan Xiushi","段秀實"
"21746","Duan Zhixuan","段志玄"
"189594","Duan Zuo","段佐"
"384461","Dugu Huaien","獨孤懷恩"
"32937","Dugu Lang","獨孤朗"
"32934","Dugu Sun","獨孤損"
"190550","Dugu Yanyun","獨孤彥雲"
"189687","Dugu Ying","獨孤穎"
"32940","Dugu Yu","獨孤郁"
"93681","Fan Chuanzheng","范傳正"
"189638","Fan Xichao","范希朝"
"94999","Fan Ze","樊澤"
"17137","Fang Guan","房琯"
"32384","Fang Rufu","房孺復"
"17142","Fang Shi","房式"
"17130","Fang Xuanling","房玄齡"
"172943","Fang Yiai","房遺愛"
"379630","Fei Yao","費曜"
"30587","Feng Ang","馮盎"
"93973","Feng Ao","封敖"
"195256","Feng Changming","馮長命"
"378473","Feng Changqing","封常清"
"382652","Feng Ding","馮定"
"194625","Feng Heqing","馮河清"
"383893","Feng Li","馮立"
"172367","Feng Lun","封倫"
"189475","Feng Shen","馮審"
"92440","Feng Su","馮宿"
"172363","Feng Xinggao","封行高"
"172368","Feng Yandao","封言道"
"148592","Feng Zixiu","封子繡"
"31645","Fu Jian(2)","苻堅"
"434943","Gao Chengjian","高承簡"
"151770","Gao Chongwen","高崇文"
"172926","Gao Ding","高定"
"94348","Gao Feng","高馮"
"377731","Gao Gu","高固"
"377940","Gao Hui","高暉"
"94339","Gao Jian","高儉"
"149170","Gao Jiong","高熲"
"382155","Gao Kai","高鍇"
"379794","Gao Kaidao","高開道"
"94338","Gao Lishi","高力士"
"376056","Gao Lvxing","高履行"
"379855","Gao Manzheng","高滿政"
"379155","Gao Mu","高沐"
"383534","Gao Qu","高璩"
"172898","Gao Shaoyi","高少逸"
"186505","Gao Sheng","高昇"
"94354","Gao Shi","高適"
"378354","Gao Xianzhi","高仙芝"
"141646","Gao Xiayu","高霞寓"
"379751","Gao Xiuyan","高秀巖"
"377651","Gao Yi","高釴"
"377584","Gao Ying","高郢"
"189511","Gao Yu","高瑀"
"94341","Gao Yuanyu","高元裕"
"378306","Gao Zengsheng","高甑生"
