CBDB_ID,familySyl,givenSyl
379873,1,2
380462,1,2
378063,1,2
378621,1,2
162825,1,2
378334,1,2
376419,3,2
377887,3,3
384386,3,1
32227,1,2
32225,1,2
167504,1,1
377724,1,2
32228,1,2
376198,1,2
189643,1,2
376103,1,2
377526,1,1
92411,1,1
18384,1,1
145777,1,1
18386,1,1
18385,1,1
380260,1,2
170542,1,1
184606,1,1
31628,1,2
377557,1,1
376066,1,1
94490,1,1
184138,1,1
173165,2,2
195252,2,2
31065,2,1
379682,2,2
380528,1,1
378766,1,2
169084,1,1
189734,1,2
172270,1,2
194948,1,1
186247,1,2
98511,1,2
93603,1,2
194949,1,1
14550,1,2
31322,1,2
380227,1,2
169416,1,1
170144,1,2
378131,1,2
184316,1,1
142562,1,2
145635,1,2
30936,1,1
30938,1,2
32007,1,2
177846,1,1
194148,1,1
32641,1,1
378000,1,2
141428,1,1
32644,1,1
376092,1,2
145948,1,1
32297,1,1
94590,1,1
32296,1,1
178033,1,2
32115,1,1
177873,1,2
141619,1,2
145951,1,1
194146,1,1
153027,1,1
160309,1,1
10208,1,1
156433,1,1
150266,1,2
194972,1,1
32276,1,1
194147,1,1
31703,1,1
194144,1,1
32307,1,1
378580,1,2
151146,1,1
194149,1,1
94576,1,1
94500,1,2
94501,1,2
159604,1,1
177304,1,1
381185,1,1
31957,1,1
150992,1,1
378588,1,1
32114,1,1
141127,1,1
146082,1,2
94509,1,2
177251,1,1
160836,1,1
32643,1,1
161094,1,2
194151,1,1
31381,1,1
156093,1,2
377538,1,1
32279,1,2
152118,1,1
177352,1,1
32298,1,1
32113,1,2
189359,1,2
32117,1,2
32116,1,2
152877,1,2
32400,1,1
32281,1,1
177453,1,1
94541,1,2
377773,1,2
379888,1,1
379357,1,2
16435,1,2
16436,1,2
3840,1,2
184128,2,1
192873,2,1
94594,2,1
145863,1,1
166217,1,1
189529,1,2
94878,1,1
94884,1,1
162725,1,1
162726,1,1
31780,1,1
172210,1,2
94871,1,1
172209,1,1
171958,1,2
194184,1,1
383331,1,1
31815,1,1
31779,1,1
172188,1,2
379706,1,1
172193,1,1
172246,1,1
94879,1,1
94880,1,1
31819,1,2
172111,1,1
31777,1,1
172260,1,2
182036,2,1
30967,2,2
186930,2,1
92836,1,2
173236,1,2
377707,1,1
32484,1,2
3915,1,1
380632,1,2
378180,1,1
32683,1,2
21187,1,2
92854,1,1
154111,1,2
382692,1,2
377767,1,1
21194,1,1
30864,1,2
384090,1,2
32685,1,1
195855,1,2
173269,1,1
30861,1,1
3927,1,1
92838,1,2
92833,1,2
380234,1,2
21751,1,2
146742,1,1
377854,1,2
189580,1,2
21750,1,2
32873,1,2
21746,1,2
189594,1,1
384461,2,2
32937,2,1
32934,2,1
190550,2,2
189687,2,1
32940,2,1
93681,1,2
189638,1,2
94999,1,1
17137,1,1
32384,1,2
17142,1,1
17130,1,2
172943,1,2
379630,1,1
30587,1,1
93973,1,1
195256,1,2
378473,1,2
382652,1,1
194625,1,2
383893,1,1
172367,1,1
189475,1,1
92440,1,1
172363,1,2
172368,1,2
148592,1,2
31645,1,1
434943,1,2
151770,1,2
172926,1,1
94348,1,1
377731,1,1
377940,1,1
94339,1,1
149170,1,1
382155,1,1
379794,1,2
94338,1,2
376056,1,2
379855,1,2
379155,1,1
383534,1,1
172898,1,2
186505,1,1
94354,1,1
378354,1,2
141646,1,2
379751,1,2
377651,1,1
377584,1,1
189511,1,1
94341,1,2
378306,1,2
146074,1,2
189330,1,1
419103,1,1
33062,2,1
196107,2,1
378380,2,2
189612,1,2
379752,1,2
17364,1,1
32878,1,2
32879,1,1
32880,1,1
19259,1,1
32353,1,2
19260,1,1
32545,1,2
181360,1,1
32350,1,1
181345,1,1
95203,1,1
19240,1,2
32352,1,1
181351,1,1
378346,1,2
379234,1,2
32356,1,1
32355,1,1
32351,1,1
145845,1,1
380117,1,2
376534,1,2
32359,1,1
383334,1,2
189322,1,2
427998,1,1
32349,1,1
32357,1,1
196097,1,2
377695,1,2
32358,1,2
32589,1,2
32344,1,1
166713,1,2
19261,1,2
181367,1,2
94373,1,2
32061,1,2
178571,1,1
32062,1,1
22450,1,2
22454,1,1
377777,1,2
178452,1,1
145745,1,1
22452,1,1
22453,1,1
432925,1,2
378029,1,2
178478,1,1
32060,1,2
94717,1,1
22437,1,1
22451,1,1
30300,1,1
377726,1,2
3332,1,1
189610,1,1
94022,1,2
189593,1,1
189584,1,2
376424,1,2
140055,2,2
94174,2,2
176094,1,2
193115,1,2
178594,1,2
178599,1,2
178598,1,2
178605,1,2
178595,1,1
178613,1,2
189493,1,1
376381,1,1
189492,1,1
94028,1,2
377529,1,1
178619,1,2
182729,1,2
380975,1,2
94217,1,2
378597,1,2
186423,2,1
94116,2,1
377613,2,2
145810,1,1
412632,1,2
184166,1,2
432543,1,2
182752,1,2
93753,1,2
182095,1,1
151050,1,1
433,1,1
11745,1,1
94227,1,1
378274,1,2
94231,1,1
32692,1,2
3220,1,1
32693,1,1
32694,1,1
179745,1,2
16113,1,2
31462,1,1
377975,1,1
31685,1,2
153720,1,2
184583,1,1
184577,1,1
31458,1,2
184576,1,1
378831,1,1
94863,1,1
380495,1,2
182713,1,1
12842,1,1
32574,1,1
182691,1,1
33053,1,2
381202,1,1
184796,1,2
92273,1,2
184783,1,1
145540,1,1
145526,1,1
178574,1,2
93208,1,1
376335,1,2
196078,1,1
378599,1,2
156077,1,1
92899,1,2
184905,1,2
184869,1,2
136174,1,2
189093,1,1
19749,1,1
376247,1,2
32029,1,1
92909,1,1
194810,1,1
377229,1,2
187998,1,1
31465,1,2
377193,1,1
174736,1,1
188718,1,1
32732,1,1
93063,1,1
188908,1,2
188904,1,2
188906,1,2
32126,1,2
32739,1,2
377203,1,2
379145,1,2
31126,1,2
187225,1,2
187220,1,2
376248,1,2
189206,1,1
194654,1,2
19249,1,1
93043,1,2
189038,1,1
31965,1,2
154932,1,2
187268,1,2
187398,1,2
31966,1,2
187282,1,2
175331,1,2
15161,1,2
380403,1,2
93046,1,1
377586,1,1
189016,1,1
142640,1,1
93025,1,2
169444,1,1
32209,1,1
376309,1,2
93092,1,2
92887,1,1
141284,1,1
188000,1,1
32205,1,1
141343,1,1
383586,1,2
378356,1,1
173821,1,2
189173,1,1
142153,1,1
93132,1,1
189153,1,1
146097,1,2
384196,1,2
184862,1,2
377822,1,2
174924,1,2
188902,1,2
145070,1,2
378333,1,1
189122,1,1
378091,1,2
145969,1,2
169062,1,2
381048,1,1
19252,1,1
190692,1,1
19245,1,1
19250,1,1
379758,1,1
339626,1,1
146626,1,2
194809,1,2
380419,1,2
31606,1,2
189104,1,1
32163,1,1
93076,1,1
173646,1,1
188758,1,1
175076,1,1
24408,1,1
194774,1,1
382421,1,1
187923,1,2
378810,1,1
194742,1,2
189072,1,1
189125,1,1
189196,1,1
189209,1,1
189834,1,1
166628,1,1
3480,1,2
188929,1,1
189017,1,1
189148,1,1
155150,1,2
184900,1,1
31312,1,1
140957,1,1
31607,1,2
189588,1,2
93059,1,2
377595,1,2
174834,1,2
196042,1,2
189171,1,1
173383,1,2
146182,1,2
189066,1,1
188010,1,1
92984,1,1
377560,1,2
19628,1,1
31313,1,2
186900,1,1
189188,1,1
32740,1,1
93088,1,1
19247,1,1
189169,1,1
378068,1,1
188889,1,1
188968,1,1
189077,1,1
186956,1,1
32534,1,2
188063,1,2
31314,1,2
195002,1,2
142261,1,2
19244,1,2
190816,1,1
189223,1,1
189084,1,1
382437,1,2
30886,1,1
189159,1,1
184892,1,1
189175,1,1
31608,1,2
189212,1,1
189099,1,1
383526,1,1
31575,1,1
189211,1,1
174884,1,1
32208,1,2
195792,1,2
380555,1,2
92873,1,2
194578,1,1
194894,1,2
380818,1,2
376204,1,1
31591,1,1
377427,1,2
191047,1,2
187242,1,2
188734,1,1
189073,1,1
158663,1,2
187803,1,1
3529,1,1
187576,1,1
184896,1,2
184894,1,2
13060,1,2
184898,1,2
380262,1,2
184899,1,2
32128,1,2
138740,1,1
150959,1,2
188924,1,2
378848,1,1
188996,1,1
189164,1,1
32989,1,1
139557,1,1
32531,1,2
187434,1,1
189158,1,1
142275,1,2
151257,1,2
383670,1,2
32160,1,2
188967,1,2
19248,1,1
189190,1,1
93104,1,1
189067,1,1
377112,1,2
189147,1,1
189135,1,1
188976,1,1
155326,1,1
189187,1,1
195793,1,2
32366,1,2
379912,1,1
174805,1,1
189058,1,1
378756,1,2
188737,1,1
32746,1,1
184890,1,1
188994,1,1
184906,1,2
145792,1,2
174665,1,2
184907,1,2
188327,1,2
189143,1,1
93109,1,1
189198,1,1
188928,1,1
189150,1,1
